x,y,z,cell_id,cell_type
234,280,0,448,1
234,281,0,448,1
234,282,0,448,1
234,283,0,448,1
234,284,0,448,1
235,200,0,5,4
235,201,0,5,4
235,202,0,5,4
235,203,0,5,4
235,204,0,5,4
235,205,0,5,4
235,206,0,5,4
235,207,0,5,4
235,208,0,5,4
235,209,0,5,4
235,210,0,5,4
235,211,0,5,4
235,212,0,5,4
235,213,0,5,4
235,214,0,5,4
235,215,0,5,4
235,216,0,5,4
235,217,0,5,4
235,218,0,5,4
235,219,0,5,4
235,220,0,5,4
235,221,0,5,4
235,222,0,5,4
235,223,0,5,4
235,224,0,5,4
235,225,0,5,4
235,226,0,5,4
235,227,0,5,4
235,228,0,5,4
235,229,0,5,4
235,230,0,5,4
235,231,0,5,4
235,232,0,5,4
235,233,0,5,4
235,234,0,5,4
235,235,0,5,4
235,236,0,5,4
235,237,0,5,4
235,238,0,5,4
235,239,0,5,4
235,240,0,5,4
235,241,0,5,4
235,242,0,5,4
235,243,0,5,4
235,244,0,5,4
235,245,0,5,4
235,246,0,5,4
235,247,0,5,4
235,248,0,5,4
235,249,0,5,4
235,250,0,48,2
235,251,0,48,2
235,252,0,48,2
235,253,0,48,2
235,254,0,48,2
235,255,0,48,2
235,256,0,48,2
235,257,0,148,2
235,258,0,148,2
235,259,0,148,2
235,260,0,148,2
235,261,0,148,2
235,262,0,148,2
235,263,0,148,2
235,264,0,248,2
235,265,0,248,2
235,266,0,248,2
235,267,0,248,2
235,268,0,248,2
235,269,0,248,2
235,270,0,248,2
235,271,0,348,3
235,272,0,348,3
235,273,0,348,3
235,274,0,348,3
235,275,0,348,3
235,276,0,348,3
235,277,0,348,3
235,278,0,448,1
235,279,0,448,1
235,280,0,448,1
235,281,0,448,1
235,282,0,448,1
235,283,0,448,1
235,284,0,448,1
236,200,0,5,4
236,201,0,5,4
236,202,0,5,4
236,203,0,5,4
236,204,0,5,4
236,205,0,5,4
236,206,0,5,4
236,207,0,5,4
236,208,0,5,4
236,209,0,5,4
236,210,0,5,4
236,211,0,5,4
236,212,0,5,4
236,213,0,5,4
236,214,0,5,4
236,215,0,5,4
236,216,0,5,4
236,217,0,5,4
236,218,0,5,4
236,219,0,5,4
236,220,0,5,4
236,221,0,5,4
236,222,0,5,4
236,223,0,5,4
236,224,0,5,4
236,225,0,5,4
236,226,0,5,4
236,227,0,5,4
236,228,0,5,4
236,229,0,5,4
236,230,0,5,4
236,231,0,5,4
236,232,0,5,4
236,233,0,5,4
236,234,0,5,4
236,235,0,5,4
236,236,0,5,4
236,237,0,5,4
236,238,0,5,4
236,239,0,5,4
236,240,0,5,4
236,241,0,5,4
236,242,0,5,4
236,243,0,5,4
236,244,0,5,4
236,245,0,5,4
236,246,0,5,4
236,247,0,5,4
236,248,0,5,4
236,249,0,5,4
236,250,0,48,2
236,251,0,48,2
236,252,0,48,2
236,253,0,48,2
236,254,0,48,2
236,255,0,48,2
236,256,0,48,2
236,257,0,148,2
236,258,0,148,2
236,259,0,148,2
236,260,0,148,2
236,261,0,148,2
236,262,0,148,2
236,263,0,148,2
236,264,0,248,2
236,265,0,248,2
236,266,0,248,2
236,267,0,248,2
236,268,0,248,2
236,269,0,248,2
236,270,0,248,2
236,271,0,348,3
236,272,0,348,3
236,273,0,348,3
236,274,0,348,3
236,275,0,348,3
236,276,0,348,3
236,277,0,348,3
236,278,0,448,1
236,279,0,448,1
236,280,0,448,1
236,281,0,448,1
236,282,0,448,1
236,283,0,448,1
236,284,0,448,1
237,200,0,5,4
237,201,0,5,4
237,202,0,5,4
237,203,0,5,4
237,204,0,5,4
237,205,0,5,4
237,206,0,5,4
237,207,0,5,4
237,208,0,5,4
237,209,0,5,4
237,210,0,5,4
237,211,0,5,4
237,212,0,5,4
237,213,0,5,4
237,214,0,5,4
237,215,0,5,4
237,216,0,5,4
237,217,0,5,4
237,218,0,5,4
237,219,0,5,4
237,220,0,5,4
237,221,0,5,4
237,222,0,5,4
237,223,0,5,4
237,224,0,5,4
237,225,0,5,4
237,226,0,5,4
237,227,0,5,4
237,228,0,5,4
237,229,0,5,4
